"Accepted Symbol" "Synonym Symbol" "Scientific Name" "Common Name" "State and Province" "Duration" "Growth Habit" "Native Status" "Active Growth Period" "Flower Color" "Flower Conspicuous" "Height  Mature (feet)" "Lifespan" "Drought Tolerance" "Shade Tolerance" "Bloom Period" 
"JUAM" "" "Justicia americana" "American water-willow" "USA (AL  AR  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MD  MI  MO  MS  NC  NJ  NY  OH  OK  PA  SC  TN  TX  VA  VT  WI  WV)  CAN (ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "White" "Yes" "2.5" "" "Low" "Tolerant" "Late Spring" 
"KALA" "" "Kalmia latifolia" "mountain laurel" "USA (AL  CT  DC  DE  FL  GA  IN  KY  LA  MA  MD  ME  MS  NC  NH  NJ  NY  OH  PA  RI  SC  TN  VA  VT  WV)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "Purple" "Yes" "6.0" "Long" "High" "Tolerant" "Mid Spring" 
"KAMI" "" "Kalmia microphylla" "alpine laurel" "USA (AK  CA  CO  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC  MB  NT  ON  YT)" "Perennial" "Subshrub  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "1.0" "Long" "Low" "Tolerant" "Late Spring" 
"KAPO" "" "Kalmia polifolia" "bog laurel" "USA (AK  CT  MA  ME  MI  MN  MT  NH  NJ  NY  PA  RI  VT  WI)  CAN (AB  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  SK  YT)  FRA (SPM)" "Perennial" "Shrub" "L48 (N)  CAN (N)  SPM (N)" "Spring and Summer" "Purple" "Yes" "1.0" "Long" "Low" "Tolerant" "Late Spring" 
"KRER" "" "Krameria erecta" "littleleaf ratany" "USA (AZ  CA  NM  NV  TX  UT)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Spring and Summer" "Purple" "Yes" "2.0" "Moderate" "High" "Intolerant" "Early Spring" 
"LATRA" "" "Larrea tridentata var. arenaria" "creosote bush" "USA (CA)" "Perennial" "Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "10" "Long" "High" "Intolerant" "Mid Spring" 
"LAJA" "" "Lathyrus japonicus" "beach pea" "USA (AK  CA  CT  IL  IN  MA  ME  MI  MN  NH  NJ  NY  OH  OR  PA  RI  VT  WA  WI)  CAN (BC  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  YT)  DEN (GL)  FRA (SPM)" "Perennial" "Vine  Forb/herb" "L48 (N)  AK (N)  CAN (N)  GL (N)  SPM (N)" "Spring and Summer" "Purple" "Yes" "1.5" "Short" "Medium" "Intermediate" "Early Spring" 
"LALI2" "" "Lathyrus littoralis" "silky beach pea" "USA (CA  OR  WA)  CAN (BC)" "Perennial" "Vine  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "1.6" "Long" "Medium" "Intermediate" "Spring" 
"LAPO3" "" "Lathyrus polyphyllus" "leafy pea" "USA (CA  OR  WA)" "Perennial" "Vine  Forb/herb" "L48 (N)" "Spring and Summer" "Red" "Yes" "2.7" "Moderate" "Medium" "Intermediate" "Mid Spring" 
"LAAS" "" "Lavatera assurgentiflora" "island mallow" "USA (CA)" "Perennial" "Subshrub  Shrub" "L48 (N)" "Year Round" "Red" "Yes" "12" "Short" "Low" "Intolerant" "Indeterminate" 
"LEGL" "" "Ledum glandulosum" "western Labrador tea" "USA (CA  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "4.5" "Long" "None" "Tolerant" "Early Spring" 
"LEMO2" "" "Lepidium montanum" "mountain pepperweed" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  UT  WY)" "Biennial  Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "0.8" "Short" "Medium" "Intermediate" "Mid Spring" 
"LEGR23" "" "Leptosiphon grandiflorus" "largeflower linanthus" "USA (CA)" "Annual" "Forb/herb" "L48 (N)" "" "" "" "" "" "" "" "" 
"LEGR23" "LIGR3" "Linanthus grandiflorus" "" "" "" "" "" "Summer" "White" "Yes" "2.0" "" "Medium" "Intolerant" "Mid Spring" 
"LEHI2" "" "Lespedeza hirta" "hairy lespedeza" "USA (AL  AR  CT  DC  DE  FL  GA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WV)  CAN (ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "White" "Yes" "6.0" "Moderate" "Medium" "Intolerant" "Late Summer" 
"LERE5" "" "Leucaena retusa" "littleleaf leadtree" "USA (NM  TX)" "Perennial" "Tree  Shrub" "L48 (N)" "Summer and Fall" "Yellow" "Yes" "25" "Moderate" "High" "Intolerant" "Early Spring" 
"LIPI7" "" "Liatris pilosa" "shaggy blazing star" "USA (AL  DC  DE  FL  GA  KY  MD  NC  NJ  PA  SC  VA  WV)" "Perennial" "Forb/herb" "L48 (N)" "" "" "" "" "" "" "" "" 
"LIPI7" "LIPIP" "Liatris pilosa var. pilosa" "" "" "" "" "" "Spring and Summer" "Purple" "Yes" "5.0" "Moderate" "Medium" "Intolerant" "Late Summer" 
"LIPU" "" "Liatris punctata" "dotted blazing star" "USA (AR  CO  IA  IL  KS  LA  MI  MN  MO  MT  ND  NE  NM  OH  OK  SD  TN  TX  WI  WY)  CAN (AB  MB  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Purple" "Yes" "2.0" "Moderate" "High" "Intolerant" "Mid Summer" 
"LIPY" "" "Liatris pycnostachya" "prairie blazing star" "USA (AR  IA  IL  IN  KS  KY  LA  MA  MI  MN  MO  MS  ND  NE  NJ  NY  OH  OK  PA  SD  TX  WI)" "Perennial" "Forb/herb" "L48 (N)" "Summer" "Purple" "Yes" "3.5" "Moderate" "Medium" "Intolerant" "Mid Summer" 
"LISP" "" "Liatris spicata" "dense blazing star" "USA (AL  AR  CT  DC  DE  FL  GA  IL  IN  KY  LA  MA  MD  MI  MO  MS  NC  NJ  NY  OH  PA  SC  TN  VA  WI  WV)  CAN (ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Purple" "Yes" "4.5" "Moderate" "Low" "Intermediate" "Late Summer" 
"LISQ2" "" "Liatris squarrulosa" "Appalachian blazing star" "USA (AL  AR  FL  GA  IL  IN  KY  LA  MO  MS  NC  OH  OK  SC  TN  TX)" "Perennial" "Forb/herb" "L48 (N)" "Summer and Fall" "Purple" "Yes" "2.5" "Moderate" "Medium" "Intermediate" "Late Summer" 
"LICA17" "" "Limonium carolinianum" "lavender thrift" "USA (AL  CT  DE  FL  GA  LA  MA  MD  ME  MS  NC  NH  NJ  NY  RI  SC  TX  VA)  CAN (LB  NB  NF  NS  PE  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Purple" "Yes" "2.0" "Short" "Low" "Intolerant" "Summer" 
"LIPU11" "" "Linanthus pungens" "granite prickly phlox" "USA (AZ  CA  CO  ID  MD  MT  NM  NV  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Forb/herb  Subshrub" "L48 (N)  CAN (N)" "" "" "" "" "" "" "" "" 
"LIPU11" "LEPU" "Leptodactylon pungens" "" "" "" "" "" "Spring and Summer" "White" "Yes" "2.0" "Short" "High" "Tolerant" "Late Spring" 
"LIBE3" "" "Lindera benzoin" "northern spicebush" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WV)  CAN (ON)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "12" "Long" "Low" "Intermediate" "Mid Spring" 
"LILE3" "" "Linum lewisii" "Lewis flax" "USA (AK  AR  AZ  CA  CO  ID  KS  LA  MI  MN  MT  ND  NE  NM  NV  OK  OR  SD  TX  UT  WA  WV  WY)  CAN (AB  BC  MB  NT  NU  ON  QC  SK  YT)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring" "Blue" "Yes" "2.5" "Moderate" "Medium" "Intolerant" "Indeterminate" 
"LITU" "" "Liriodendron tulipifera" "tuliptree" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KY  LA  MA  MD  MI  MO  MS  NC  NJ  NY  OH  PA  RI  SC  TN  TX  VA  VT  WV)  CAN (ON)" "Perennial" "Tree" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "120" "Moderate" "Low" "Intolerant" "Mid Spring" 
"LOCA2" "" "Lobelia cardinalis" "cardinalflower" "USA (AL  AR  AZ  CA  CO  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NE  NH  NJ  NM  NV  NY  OH  OK  PA  RI  SC  TN  TX  UT  VA  VT  WI  WV)  CAN (NB  ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Red" "Yes" "5.9" "Moderate" "Medium" "Tolerant" "Summer" 
"LOCA4" "" "Lomatium canbyi" "Canby's biscuitroot" "USA (CA  ID  NV  OR  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "White" "Yes" "0.8" "Short" "High" "Intolerant" "Early Spring" 
"LOCO4" "" "Lomatium cous" "cous biscuitroot" "USA (ID  MT  ND  NV  OR  SD  UT  WA  WY)  CAN (AB  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Yellow" "Yes" "0.8" "Short" "High" "Intolerant" "Early Spring" 
"LODI" "" "Lomatium dissectum" "fernleaf biscuitroot" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)  CAN (AB  BC  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "15" "Short" "High" "Intermediate" "Early Summer" 
"LOTR2" "" "Lomatium triternatum" "nineleaf biscuitroot" "USA (CA  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.2" "Moderate" "Low" "Intermediate" "Early Spring" 
"LOIN5" "" "Lonicera involucrata" "twinberry honeysuckle" "USA (AK  AZ  CA  CO  ID  MI  MT  NM  NV  OR  UT  WA  WI  WY)  CAN (AB  BC  MB  NU  ON  QC  SK)" "Perennial" "Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring" "Yellow" "Yes" "10" "Long" "Low" "Tolerant" "Summer" 
"LOSE" "" "Lonicera sempervirens" "trumpet honeysuckle" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WV)  CAN (ON  QC)" "Perennial" "Vine" "L48 (N)  CAN (I)" "Spring" "Red" "Yes" "16" "Long" "Low" "Tolerant" "Late Summer" 
"LOUT2" "" "Lonicera utahensis" "Utah honeysuckle" "USA (AZ  ID  MT  NM  OR  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "5.0" "Moderate" "None" "Tolerant" "Early Summer" 
"LOCR" "" "Lotus crassifolius" "big deervetch" "USA (CA  OR  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "3.5" "Long" "Low" "Intolerant" "Late Spring" 
"LOWR" "" "Lotus wrightii" "Wright's deervetch" "USA (AZ  CO  NM  UT)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Moderate" "High" "Intermediate" "Mid Spring" 
"LUAL3" "" "Lupinus albicaulis" "sicklekeel lupine" "USA (CA  OR  WA)" "Annual" "Forb/herb" "L48 (N)" "Fall  Winter and Spring" "Blue" "Yes" "3.0" "" "Low" "Intolerant" "Late Summer" 
"LUAL5" "" "Lupinus ??alpestris" "Great Basin lupine" "USA (AZ  CA  CO  ID  MT  NE  NM  NV  UT  WY)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Purple" "Yes" "2.2" "Long" "High" "Intolerant" "Summer" 
"LUAR" "" "Lupinus arboreus" "yellow bush lupine" "USA (CA  OR  WA)  CAN (BC)" "Perennial" "Subshrub  Shrub" "L48 (N)  CAN (I)" "Fall  Winter and Spring" "Yellow" "Yes" "6.0" "Moderate" "High" "Intolerant" "Mid Spring" 
"LUAR2" "" "Lupinus arcticus" "arctic lupine" "USA (AK  OR  WA)  CAN (AB  BC  NT  NU  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Blue" "Yes" "2.0" "Short" "Low" "Intermediate" "Spring" 
"LUAR3" "" "Lupinus argenteus" "silvery lupine" "USA (AZ  CA  CO  ID  KS  MT  ND  NE  NM  NV  OK  OR  SD  UT  WA  WY)  CAN (AB  BC  SK)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Blue" "Yes" "1.5" "Short" "Medium" "Intolerant" "Late Summer" 
"LUCA" "" "Lupinus caudatus" "tailcup lupine" "USA (AZ  CA  CO  ID  MT  NE  NM  NV  OK  OR  SD  TX  UT  WA  WY)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Blue" "Yes" "5.0" "Short" "Medium" "Intolerant" "Summer" 
"LUCO4" "" "Lupinus covillei" "shaggy lupine" "USA (CA)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Blue" "Yes" "10" "Short" "None" "Intolerant" "Late Summer" 
"LUEL2" "" "Lupinus elmeri" "Elmer's lupine" "USA (CA)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Purple" "Yes" "1.5" "Short" "Low" "Intermediate" "Mid Summer" 
"LUHA" "" "Lupinus havardii" "Big Bend bluebonnet" "USA (TX)" "Annual" "Forb/herb" "L48 (N)" "Spring  Summer  Fall" "Blue" "Yes" "20" "" "High" "Intermediate" "Early Spring" 
"LULA4" "" "Lupinus latifolius" "broadleaf lupine" "USA (AZ  CA  NM  NV  OR  UT  WA)" "Perennial" "Forb/herb" "L48 (N)" "Summer and Fall" "Blue" "Yes" "25" "Short" "None" "Tolerant" "Mid Spring" 
"LULE2" "" "Lupinus lepidus" "Pacific lupine" "USA (AK  OR  WA)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Blue" "Yes" "6.0" "Short" "High" "Intolerant" "Early Summer" 
"LULU2" "" "Lupinus luteolus" "pale yellow lupine" "USA (CA  OR)" "Annual" "Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "2.9" "" "High" "Intermediate" "Early Summer" 
"LUNE" "" "Lupinus nevadensis" "Nevada lupine" "USA (CA  NV  OR)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "Blue" "Yes" "1.2" "Moderate" "High" "Intolerant" "Mid Spring" 
"LUNO" "" "Lupinus nootkatensis" "Nootka lupine" "USA (AK  WA)  CAN (AB  BC  NF  NS  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Summer" "Purple" "Yes" "2.0" "Short" "None" "Intermediate" "Early Summer" 
"LUSE4" "" "Lupinus sericeus" "silky lupine" "USA (AZ  CO  ID  MT  NV  OR  SD  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Blue" "Yes" "6.0" "Short" "High" "Intolerant" "Early Summer" 
"LUSU5" "" "Lupinus sulphureus" "sulphur lupine" "USA (OR  WA)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "10" "Short" "High" "Intolerant" "Early Summer" 
"LYCA2" "" "Lycium carolinianum" "Carolina desert-thorn" "USA (AL  FL  GA  LA  MS  SC  TX)" "Perennial" "Shrub" "L48 (N)" "Spring" "Purple" "Yes" "9.0" "Moderate" "None" "Intolerant" "Fall" 
"LYPA" "" "Lycium pallidum" "pale desert-thorn" "USA (AZ  CA  CO  NM  NV  OK  TX  UT)" "Perennial" "Shrub" "L48 (N)" "Summer" "Purple" "Yes" "6.0" "Moderate" "High" "Intolerant" "Early Spring" 
"LYVI4" "" "Lycopus virginicus" "Virginia water horehound" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NE  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "4.0" "Moderate" "Low" "Tolerant" "Summer" 
"LYLU3" "" "Lyonia lucida" "fetterbush lyonia" "USA (AL  FL  GA  LA  MS  NC  SC  VA)" "Perennial" "Shrub" "L48 (N)" "Summer" "Red" "Yes" "6.6" "Long" "Low" "Tolerant" "Spring" 
"LYLA" "" "Lysimachia lanceolata" "lanceleaf loosestrife" "USA (AL  AR  CT  DC  FL  GA  IA  IL  IN  KY  LA  MD  ME  MI  MO  MS  NC  NJ  OH  OK  PA  SC  TN  TX  VA  WI  WV)  CAN (MB  ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "2.5" "Moderate" "Medium" "Tolerant" "Late Spring" 
"LYTH2" "" "Lysimachia thyrsiflora" "tufted loosestrife" "USA (AK  CA  CO  CT  IA  ID  IL  IN  KS  MA  MD  ME  MI  MN  MO  MT  ND  NE  NH  NJ  NY  OH  OR  PA  RI  SD  UT  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.0" "Moderate" "None" "Intermediate" "Mid Spring" 
"MABIB" "" "Machaeranthera bigelovii var. bigelovii" "Bigelow's tansyaster" "USA (CO  NM  OK  WY)" "Biennial  Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Purple" "Yes" "4.0" "Short" "High" "Intolerant" "Fall" 
"MATA2" "" "Machaeranthera tanacetifolia" "tanseyleaf tansyaster" "USA (AZ  CA  CO  IL  KS  MT  NE  NM  NV  NY  OK  SD  TX  UT  WY)  CAN (AB)" "Annual  Biennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "2.0" "" "Medium" "Intolerant" "Late Spring" 
"MAAT80" "" "Macroptilium atropurpureum" "purple bushbean" "USA (AZ  FL  HI  TX)  USA+ (PR)" "Perennial" "Vine  Forb/herb" "L48 (N)  HI (I)  PR (N)" "Spring and Summer" "Purple" "Yes" "4.0" "Short" "Medium" "Intermediate" "Indeterminate" 
"MAAC" "" "Magnolia acuminata" "cucumber tree" "USA (AL  AR  CT  FL  GA  IL  IN  KY  LA  MA  MD  ME  MO  MS  NC  NJ  NY  OH  OK  PA  SC  TN  VA  WV)  CAN (ON)" "Perennial" "Tree" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "100" "Moderate" "None" "Intermediate" "Mid Spring" 
"MAFR" "" "Magnolia fraseri" "mountain magnolia" "USA (AL  GA  KY  NC  NY  OH  SC  TN  VA  WV)" "Perennial" "Tree" "L48 (N)" "Spring and Summer" "White" "Yes" "75" "Moderate" "Low" "Intermediate" "Spring" 
"MAGR4" "" "Magnolia grandiflora" "southern magnolia" "USA (AL  AR  FL  GA  KY  LA  MD  MS  NC  SC  TN  TX  VA)  USA+ (PR)" "Perennial" "Tree" "L48 (N)  PR (I)" "Spring and Summer" "White" "Yes" "100" "Long" "Low" "Tolerant" "Mid Spring" 
"MATR" "" "Magnolia tripetala" "umbrella-tree" "USA (AL  AR  CT  DC  DE  FL  GA  IN  KY  MA  MD  MO  MS  NC  NJ  NY  OH  OK  PA  SC  TN  VA  WV)" "Perennial" "Tree" "L48 (N)" "Spring" "White" "Yes" "30" "Short" "Low" "Tolerant" "Spring" 
"MAVI2" "" "Magnolia virginiana" "sweetbay" "USA (AL  AR  DC  DE  FL  GA  LA  MA  MD  MS  NC  NJ  NY  PA  SC  TN  TX  VA)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "60" "Moderate" "None" "Intermediate" "Summer" 
"MAAQ2" "" "Mahonia aquifolium" "hollyleaved barberry" "USA (CA  DC  GA  ID  KY  MI  MT  NJ  NY  OH  OR  WA)  CAN (AB  BC  ON  QC)" "Perennial" "Shrub  Subshrub" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "8.0" "Long" "High" "Tolerant" "Late Spring" 
"MANE2" "" "Mahonia nervosa" "Cascade barberry" "USA (CA  ID  OR  SC  WA)  CAN (BC)" "Perennial" "Subshrub  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.0" "Long" "High" "Tolerant" "Mid Spring" 
"MARE11" "" "Mahonia repens" "creeping barberry" "USA (AZ  CA  CO  DE  ID  IN  MN  MT  ND  NE  NM  NV  OR  PA  SD  TX  UT  WA  WY)  CAN (AB  BC  ON)" "Perennial" "Subshrub  Shrub" "L48 (N)  CAN (N)" "Spring" "Yellow" "Yes" "2.0" "Long" "High" "Tolerant" "Mid Spring" 
"MAFU" "" "Malus fusca" "Oregon crab apple" "USA (AK  CA  OR  WA)  CAN (BC)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring" "White" "Yes" "15" "Moderate" "Low" "Intermediate" "Mid Spring" 
"MAIO" "" "Malus ioensis" "prairie crab apple" "USA (AR  IA  IL  IN  KS  KY  LA  MI  MN  MO  NE  NJ  OH  OK  SD  TX  WI)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "25" "Moderate" "High" "Intolerant" "Mid Spring" 
"MAAN9" "" "Maurandella antirrhiniflora" "roving sailor" "USA (AZ  CA  FL  HI  MD  NM  NV  TX  UT)" "Perennial" "Vine  Forb/herb" "L48 (N)  HI (I)" "Spring" "Purple" "Yes" "0.8" "Moderate" "Medium" "Intolerant" "Mid Spring" 
"MESC" "" "Menodora scabra" "rough menodora" "USA (AZ  CA  CO  NM  NV  TX  UT)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Moderate" "High" "Intolerant" "Early Summer" 
"MEAR4" "" "Mentha arvensis" "wild mint" "USA (AK  AR  AZ  CA  CO  CT  DC  DE  GA  IA  ID  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OR  PA  RI  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  SPM (N)" "Spring" "White" "Yes" "2.6" "Short" "Low" "Intermediate" "Spring" 
"MEDE2" "" "Mentzelia decapetala" "tenpetal blazingstar" "USA (CO  IA  ID  IL  IN  KS  MT  ND  NE  NM  NV  OK  SD  TX  WY)  CAN (AB  MB  SK)" "Biennial  Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "3.5" "Short" "High" "Intolerant" "Mid Summer" 
"METR3" "" "Menyanthes trifoliata" "buckbean" "USA (AK  AZ  CA  CO  CT  DE  IA  ID  IL  IN  MA  MD  ME  MI  MN  MO  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OR  PA  RI  SD  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  SK  YT)  DEN (GL)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  GL (N)  SPM (N)" "Spring and Summer" "White" "Yes" "0.8" "Moderate" "None" "Intermediate" "Mid Spring" 
"MECI3" "" "Mertensia ciliata" "tall fringed bluebells" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  SD  UT  WY)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Blue" "Yes" "2.0" "Moderate" "Low" "Intermediate" "Late Spring" 
"MEVI3" "" "Mertensia virginica" "Virginia bluebells" "USA (AL  AR  DC  DE  GA  IA  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  MS  NC  NJ  NY  OH  PA  SC  TN  VA  WI  WV)  CAN (ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Blue" "Yes" "2.3" "Moderate" "Low" "Tolerant" "Spring" 
"MINU" "" "Microseris nutans" "nodding microseris" "USA (CA  CO  ID  MT  NV  OR  SD  UT  WA  WY)  CAN (AB  BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.0" "Short" "Medium" "Tolerant" "Late Spring" 
"MISC" "" "Mikania scandens" "climbing hempvine" "USA (AL  AR  CT  DC  DE  FL  GA  IL  IN  KY  LA  MA  MD  ME  MI  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA)  CAN (ON)" "Perennial" "Vine  Forb/herb" "L48 (N)  CAN (I)" "Summer" "White" "Yes" "1.0" "Moderate" "Low" "Tolerant" "Summer" 
"MIAL2" "" "Mimulus alatus" "sharpwing monkeyflower" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  MI  MO  MS  NC  NE  NJ  NY  OH  OK  PA  SC  TN  TX  VA  WV)  CAN (ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring" "Blue" "Yes" "2.3" "Short" "None" "Tolerant" "Summer" 
"MICA3" "" "Mimulus cardinalis" "scarlet monkeyflower" "USA (AZ  CA  NM  NV  OR  UT  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Red" "Yes" "2.5" "Moderate" "Low" "Tolerant" "Spring" 
"MIDE3" "" "Mimulus dentatus" "coastal monkeyflower" "USA (CA  OR  WA)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.5" "Short" "Low" "Tolerant" "Mid Spring" 
"MIGU" "" "Mimulus guttatus" "seep monkeyflower" "USA (AK  AZ  CA  CO  CT  DE  ID  MI  MT  ND  NE  NM  NV  NY  OR  PA  SD  UT  WA  WY)  CAN (AB  BC  NB  NT  SK  YT)" "Annual  Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.5" "Short" "None" "Tolerant" "Mid Spring" 
"MINA" "" "Mimulus nanus" "dwarf purple monkeyflower" "USA (CA  CO  ID  MT  NV  OR  WA  WY)" "Annual" "Forb/herb" "L48 (N)" "Spring and Summer" "Red" "Yes" "0.5" "" "Medium" "Intolerant" "Late Spring" 
"MIPR" "" "Mimulus primuloides" "primrose monkeyflower" "USA (AZ  CA  ID  MT  NM  NV  OR  UT  WA)" "Perennial" "Forb/herb" "L48 (N)" "Spring and Summer" "Red" "Yes" "1.5" "Short" "Low" "Tolerant" "Spring" 
